               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11993,           0.0090195,                   0,          3.5556e-05,            0.013457,          1.8329e-05,          3.3163e-06,             0.12361,           0.0079865,                   0,              0.0702,           0.0033111,           0.0033111
                   1,             0.13166,           0.0075121,                   0,          2.4444e-05,           0.0092515,          1.2343e-05,          2.1837e-06,             0.12146,             0.16826,                   0,            0.040134,           0.0065787,           0.0065787
                   2,             0.12459,           0.0071187,                   0,          2.4444e-05,           0.0092515,          1.2411e-05,          2.5334e-06,             0.11381,            0.015322,                   0,            0.010002,           0.0097802,           0.0097802
                   3,             0.11404,           0.0066424,                   0,          0.00012242,           0.0021026,          1.0511e-05,          2.0816e-06,             0.10353,           0.0070327,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.10756,           0.0067536,                   0,          8.5556e-05,             0.03238,          5.3765e-05,          1.1396e-05,            0.095816,           0.0073075,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.089634,            0.006808,                   0,          0.00071222,             0.26955,              0.0013,          0.00025401,            0.086472,           0.0078678,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.092295,           0.0067665,                   0,           0.0011278,             0.42683,           0.0030425,          0.00073282,            0.082057,           0.0084149,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.089591,           0.0073845,                   0,           0.0011122,             0.42094,           0.0044876,           0.0010395,            0.081175,           0.0081587,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.080583,           0.0071879,                   0,           0.0014211,             0.53785,            0.036836,           0.0068564,            0.075712,            0.008841,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.083163,           0.0076696,                   0,           0.0014344,             0.54289,            0.048506,            0.009673,            0.074159,           0.0087157,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.08157,           0.0073641,                   0,           0.0015389,             0.58242,            0.073877,            0.013778,             0.07117,           0.0087497,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.076502,           0.0074732,                   0,            0.027567,             0.52565,            0.076775,            0.015468,            0.069168,           0.0086124,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.081231,           0.0069911,                   0,            0.034733,             0.47267,            0.061383,            0.012496,            0.068825,           0.0086119,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.072864,           0.0074992,                   0,            0.046185,              0.3032,            0.064676,            0.012048,            0.072787,           0.0082053,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.084698,           0.0076789,                   0,             0.10845,             0.41548,             0.15029,            0.031047,            0.067678,           0.0084174,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.074323,            0.007125,                   0,             0.12553,             0.38814,             0.12814,            0.026118,            0.065149,           0.0085644,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.07485,           0.0064617,                   0,              0.2216,             0.34651,             0.15212,            0.029684,            0.064997,           0.0083968,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.074917,           0.0075624,                   0,             0.23823,             0.33431,             0.18592,            0.037021,            0.065315,           0.0082388,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.077833,            0.007231,                   0,             0.23764,             0.25147,             0.13533,            0.028724,            0.064903,           0.0082511,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.064002,           0.0065472,                   0,             0.28086,             0.34399,             0.19596,            0.042785,            0.063644,             0.00803,                   0,            0.008218,            0.008218,            0.008218
