               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10483,           0.0058506,                   0,          6.6667e-06,           0.0025231,          3.9002e-06,          8.5548e-07,             0.10237,           0.0056023,                   0,             0.07002,           0.0033311,           0.0033311
                   1,            0.092785,           0.0050041,                   0,          0.00092889,             0.35156,           0.0018837,          0.00040132,            0.075576,           0.0082336,                   0,            0.039954,           0.0065985,           0.0065985
                   2,            0.079629,           0.0063065,                   0,             0.18861,             0.18251,            0.091468,            0.020389,            0.068352,           0.0078864,                   0,            0.009822,           0.0097998,           0.0097998
                   3,            0.069327,           0.0058309,                   0,             0.42824,             0.12725,             0.15816,            0.040691,            0.062867,           0.0077926,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.065946,           0.0055303,                   0,             0.43286,             0.30908,             0.28121,            0.074235,            0.058642,           0.0069992,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.062581,           0.0050596,                   0,             0.38589,             0.36838,             0.25062,            0.064028,            0.058632,           0.0063349,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.061728,           0.0047489,                   0,             0.49661,             0.43734,             0.35577,            0.094321,            0.056657,           0.0057729,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.057669,           0.0044128,                   0,             0.55456,             0.48738,             0.40543,             0.10802,            0.055504,           0.0056679,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.061543,           0.0046861,                   0,             0.47239,             0.37931,             0.32969,            0.079686,            0.058139,            0.005418,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.056906,           0.0044211,                   0,             0.67234,             0.49285,             0.48373,             0.12878,            0.054443,           0.0050452,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.057555,           0.0041278,                   0,             0.65144,             0.49327,             0.49779,             0.13793,             0.05418,           0.0048936,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.058075,           0.0040565,                   0,             0.64804,             0.50883,             0.52263,             0.14372,            0.053204,           0.0046277,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.059141,           0.0042751,                   0,             0.65915,             0.51598,             0.52471,             0.16219,             0.05218,           0.0046396,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.05499,           0.0039265,                   0,             0.61122,             0.48612,             0.48224,             0.13455,            0.053092,            0.004778,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.055875,           0.0039829,                   0,             0.54832,             0.48528,             0.47275,             0.13942,            0.051721,            0.004865,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.056918,           0.0040448,                   0,             0.69201,             0.53869,              0.5681,             0.17865,            0.051523,           0.0044275,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.055559,            0.003776,                   0,             0.59556,             0.49958,             0.49416,             0.14426,             0.05221,            0.004614,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.053154,           0.0039045,                   0,             0.59054,             0.51551,             0.49914,             0.14957,            0.052336,           0.0044117,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.055351,           0.0037782,                   0,             0.63769,             0.52229,              0.5511,             0.16792,            0.051568,           0.0043127,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.055334,           0.0039776,                   0,             0.70368,             0.55299,               0.575,                0.18,            0.050268,           0.0043769,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.054462,           0.0038885,                   0,             0.65373,             0.54752,             0.56093,             0.17543,            0.050023,           0.0043124,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.054428,           0.0038664,                   0,             0.67198,             0.53616,             0.55655,             0.17781,            0.049879,           0.0042811,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.054226,           0.0038415,                   0,             0.63671,             0.50706,             0.52207,             0.15589,            0.050283,           0.0046676,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.053441,           0.0039374,                   0,             0.66549,             0.55214,             0.55914,             0.17162,            0.049752,           0.0043808,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.054543,           0.0040658,                   0,             0.67112,             0.55521,             0.57378,             0.17784,              0.0491,           0.0043337,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.053558,           0.0038421,                   0,             0.72773,             0.55863,             0.58935,             0.19139,            0.049537,           0.0043367,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.052343,           0.0038158,                   0,             0.65335,             0.54371,             0.56011,             0.17318,            0.049039,           0.0043801,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.050033,           0.0038057,                   0,             0.70129,             0.58663,               0.587,             0.18954,            0.048145,           0.0044132,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.053804,           0.0040285,                   0,             0.66206,             0.55939,             0.57525,             0.19267,            0.048291,           0.0045037,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.053058,           0.0037618,                   0,             0.73402,             0.57696,             0.61143,              0.2108,            0.047403,           0.0043936,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.051522,           0.0037911,                   0,             0.68057,             0.57429,             0.60812,             0.21017,            0.047404,           0.0044037,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.05172,           0.0038937,                   0,             0.74274,             0.59336,             0.60833,              0.1979,            0.047782,            0.004439,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.05228,           0.0039503,                   0,             0.75869,             0.59125,             0.62832,              0.2085,             0.04742,           0.0042409,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.050915,           0.0038028,                   0,             0.74757,             0.58158,             0.61943,             0.20613,            0.048073,           0.0041495,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.051031,           0.0036812,                   0,             0.70843,             0.55992,             0.59554,             0.19906,            0.047918,           0.0043711,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.049757,            0.003442,                   0,             0.77526,             0.58749,             0.63125,              0.2182,            0.047059,           0.0042325,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.052065,            0.003867,                   0,             0.78046,             0.59351,             0.64116,             0.21891,             0.04727,           0.0040919,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.051613,           0.0037502,                   0,             0.78927,              0.5984,             0.65293,             0.22303,            0.046738,           0.0041986,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.050015,           0.0036519,                   0,             0.73345,             0.57277,             0.61845,             0.20742,            0.047293,           0.0041942,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.049534,            0.003709,                   0,             0.74479,             0.58663,             0.62662,             0.21852,            0.046409,           0.0042789,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.051017,           0.0038582,                   0,             0.79387,             0.60085,             0.65471,             0.22882,            0.046319,           0.0041431,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.049996,           0.0037206,                   0,             0.78324,             0.58999,              0.6367,             0.22164,            0.046363,           0.0043415,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.049073,           0.0035485,                   0,             0.79899,             0.57401,             0.63838,             0.22018,            0.046486,           0.0041825,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.050928,           0.0035745,                   0,             0.79597,              0.5799,              0.6419,             0.21826,            0.046688,           0.0042037,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.050998,           0.0036744,                   0,             0.80123,             0.58495,             0.64603,             0.22535,             0.04648,            0.004172,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.047874,            0.003474,                   0,              0.7849,             0.59756,             0.64602,             0.22227,            0.045765,           0.0042214,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.049703,           0.0035574,                   0,             0.76086,              0.5841,             0.62245,             0.21067,            0.046661,           0.0043623,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.051912,           0.0039633,                   0,             0.76438,             0.57948,             0.63077,             0.21238,            0.046186,           0.0043153,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.051514,           0.0037559,                   0,             0.79126,             0.59618,             0.64692,             0.22025,            0.046414,            0.004243,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.050038,           0.0038015,                   0,             0.78767,             0.60838,             0.65364,             0.22762,            0.046523,           0.0041125,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.051363,           0.0037838,                   0,             0.79658,              0.6148,             0.66653,             0.23925,            0.045266,           0.0041879,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.049421,            0.003649,                   0,             0.81478,               0.582,             0.64789,             0.23211,            0.045823,           0.0042231,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.048398,           0.0037534,                   0,             0.80731,             0.59726,             0.64859,             0.22752,              0.0455,           0.0042263,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.048856,           0.0035793,                   0,             0.76831,             0.60219,             0.63974,             0.21507,            0.045957,            0.004093,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.050648,           0.0037533,                   0,             0.79513,             0.61366,             0.66336,             0.23723,            0.045105,           0.0041231,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.048014,           0.0037577,                   0,             0.81744,             0.61384,             0.66105,             0.23198,            0.045455,           0.0040731,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.048948,           0.0035925,                   0,             0.80945,             0.60913,             0.66802,             0.22864,            0.045845,           0.0040747,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.048231,           0.0036452,                   0,             0.78624,             0.62616,             0.66494,             0.22877,            0.045609,           0.0040597,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.04877,             0.00357,                   0,             0.78605,             0.61438,             0.65492,             0.22564,            0.045331,           0.0041059,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.048624,           0.0036433,                   0,             0.81798,             0.60093,             0.65905,             0.22912,            0.045601,           0.0040679,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.046696,           0.0034469,                   0,             0.81787,             0.60303,             0.66168,             0.22732,            0.045675,           0.0040162,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.048922,           0.0035866,                   0,             0.81058,             0.61186,             0.67019,             0.23375,            0.045165,           0.0040528,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.047608,           0.0035231,                   0,             0.82297,             0.60513,             0.66189,             0.23272,            0.045215,           0.0040555,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.048148,           0.0035543,                   0,             0.82241,             0.62124,             0.67849,             0.23774,            0.045216,           0.0040279,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.048946,            0.003788,                   0,             0.82663,             0.61155,             0.66785,             0.23263,             0.04524,           0.0040593,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.048449,           0.0036117,                   0,             0.81459,             0.62153,             0.67835,             0.23681,              0.0451,           0.0040012,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.049105,            0.003609,                   0,             0.79879,             0.63331,             0.66768,             0.22921,            0.045304,           0.0040259,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.048833,           0.0036184,                   0,             0.82897,             0.61901,             0.68867,             0.24409,            0.044968,           0.0039765,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.048735,           0.0036686,                   0,             0.82674,               0.612,             0.67533,             0.23697,            0.045177,            0.003976,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.047096,           0.0037541,                   0,              0.8226,              0.6169,             0.67889,             0.23907,            0.045108,           0.0039758,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.046877,            0.003556,                   0,             0.81094,             0.62616,             0.67229,             0.23222,            0.045327,           0.0039221,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.046826,           0.0035513,                   0,              0.8018,             0.59798,             0.65998,             0.23127,            0.045314,           0.0040339,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.048582,           0.0036424,                   0,             0.81225,             0.62237,             0.67932,             0.23972,            0.045014,           0.0039726,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.048278,           0.0037434,                   0,              0.8055,             0.63219,             0.68538,             0.24554,            0.044472,           0.0039041,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.048856,           0.0036592,                   0,             0.81803,             0.61943,             0.68063,             0.24099,            0.045002,           0.0039533,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.045892,           0.0035246,                   0,             0.81428,             0.62133,             0.68053,             0.24457,            0.044806,           0.0039311,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.048265,           0.0036831,                   0,             0.82633,             0.62405,              0.6848,             0.24559,            0.044738,           0.0039207,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.046548,             0.00349,                   0,              0.8358,             0.61901,             0.69072,             0.25035,            0.044558,           0.0038736,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.048013,           0.0036304,                   0,              0.8229,             0.62027,             0.68721,             0.24959,            0.044263,           0.0039153,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.047913,           0.0035749,                   0,             0.80933,             0.61775,             0.67772,             0.23898,            0.044916,           0.0039291,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.046607,           0.0036506,                   0,             0.83981,             0.61018,             0.67879,             0.23867,            0.044894,            0.003921,                   0,            0.002179,            0.002179,            0.002179
