               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11846,           0.0067171,                   0,          1.8889e-05,           0.0071489,          9.7849e-06,           2.235e-06,              0.1103,           0.0065256,                   0,            0.070067,           0.0033259,           0.0033259
                   1,             0.10287,           0.0048622,                   0,            0.001221,           0.0046257,          0.00013262,          2.5217e-05,            0.097801,           0.0055393,                   0,            0.040001,           0.0065933,           0.0065933
                   2,            0.089986,           0.0050582,                   0,          0.00099222,             0.37553,           0.0020793,          0.00044811,            0.081506,           0.0071313,                   0,           0.0098688,           0.0097947,           0.0097947
                   3,            0.084426,           0.0062627,                   0,           0.0015733,             0.59546,           0.0075852,           0.0018892,            0.075039,           0.0073789,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.080238,           0.0060603,                   0,             0.42665,            0.030278,             0.14532,            0.033222,            0.067774,           0.0077156,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.077008,           0.0064509,                   0,             0.23319,            0.060135,             0.12601,            0.029451,            0.064185,           0.0078847,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.072037,           0.0064125,                   0,             0.40684,             0.33285,             0.26428,            0.061459,            0.063322,           0.0066722,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.070693,           0.0056755,                   0,             0.39734,             0.28301,             0.22986,            0.054914,            0.065289,           0.0062177,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.070098,           0.0054251,                   0,             0.48138,             0.35534,             0.30703,             0.07897,            0.061048,             0.00663,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.067707,           0.0059633,                   0,             0.41445,              0.3831,             0.30301,            0.073874,            0.060812,           0.0055797,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.067378,           0.0053129,                   0,             0.40311,             0.36417,             0.27746,            0.068832,            0.060516,           0.0059817,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.069688,           0.0051934,                   0,             0.41899,              0.4365,             0.35932,            0.095777,            0.058756,            0.005339,                   0,             0.00901,             0.00901,             0.00901
                  12,              0.0671,           0.0048553,                   0,             0.45216,             0.40959,             0.33737,            0.087931,            0.058799,           0.0052061,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.062033,           0.0046572,                   0,              0.4944,             0.40833,             0.36992,            0.094502,            0.059446,           0.0053281,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.064471,           0.0044467,                   0,             0.54283,             0.44743,             0.38274,            0.099241,            0.057802,           0.0054433,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.064015,           0.0050189,                   0,             0.58653,             0.46411,             0.45328,             0.12343,            0.056651,           0.0046261,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.064555,           0.0048224,                   0,               0.404,             0.40496,             0.28555,            0.071917,             0.05918,           0.0050535,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.063736,           0.0042747,                   0,             0.59825,              0.4133,             0.41675,             0.10226,            0.058568,           0.0045685,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.063867,           0.0047934,                   0,             0.62695,             0.46857,             0.46212,             0.11976,            0.056074,           0.0045365,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.063214,           0.0048732,                   0,             0.58977,             0.48738,             0.44215,             0.11849,            0.055924,           0.0045664,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.058184,           0.0045227,                   0,             0.61838,             0.47729,             0.47053,             0.12332,            0.054844,           0.0046747,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.065107,           0.0048817,                   0,             0.54978,             0.50273,             0.44269,             0.12064,            0.056302,           0.0046418,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.061022,           0.0044742,                   0,             0.59731,             0.46426,             0.44553,             0.11341,            0.056183,           0.0045155,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.063727,           0.0047098,                   0,              0.5304,             0.46341,             0.41899,             0.10507,            0.056097,           0.0044385,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.059834,           0.0043041,                   0,             0.63095,             0.45294,             0.45717,             0.12224,            0.055863,           0.0042086,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.059934,           0.0045226,                   0,             0.61493,             0.47098,             0.48885,             0.13215,            0.055103,            0.004463,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.058115,           0.0040076,                   0,             0.61357,             0.46606,             0.44701,             0.11022,            0.055705,           0.0048476,                   0,            0.007525,            0.007525,            0.007525
                  27,              0.0616,           0.0050391,                   0,             0.51544,             0.46565,             0.39647,             0.10067,            0.055279,           0.0045217,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.057496,           0.0042619,                   0,             0.58245,              0.4714,             0.45341,              0.1207,            0.054967,            0.004603,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.05699,           0.0044823,                   0,             0.53528,             0.46791,             0.41249,             0.10235,            0.055795,           0.0045965,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.063318,           0.0044541,                   0,             0.59711,             0.47939,             0.44995,             0.11829,             0.05511,           0.0044841,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.060637,           0.0048694,                   0,             0.62109,             0.50168,             0.49744,             0.13361,             0.05793,           0.0041789,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.057436,           0.0041831,                   0,             0.65355,             0.49117,             0.50039,             0.13061,            0.054872,           0.0043346,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.058711,           0.0048776,                   0,             0.58519,             0.50071,             0.44746,             0.11839,            0.054658,           0.0043887,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.058358,           0.0042809,                   0,             0.67525,             0.48266,             0.48227,             0.13084,            0.053888,           0.0043618,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.060566,           0.0043293,                   0,             0.62597,             0.50757,             0.49346,             0.13819,            0.053062,           0.0043944,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.056708,            0.004107,                   0,             0.61922,              0.4979,             0.47599,             0.12982,            0.054455,           0.0043411,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.05923,           0.0041884,                   0,             0.61815,             0.47603,             0.46336,             0.12202,            0.053932,            0.004434,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.054196,           0.0037302,                   0,             0.68721,             0.52229,             0.55954,             0.16593,            0.053268,           0.0043468,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.057481,           0.0044746,                   0,             0.67178,             0.52103,              0.5331,             0.15571,            0.052805,           0.0043954,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.058538,           0.0044346,                   0,             0.62958,             0.48234,             0.48699,             0.13077,            0.053859,           0.0043132,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.056697,            0.004516,                   0,             0.67106,             0.50757,             0.51676,             0.14399,            0.052623,           0.0042898,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.055791,            0.004106,                   0,             0.61381,             0.49327,             0.48829,             0.12564,            0.053632,           0.0043691,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.057216,            0.004453,                   0,             0.64365,              0.5349,             0.52411,             0.15199,            0.052239,           0.0043793,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.059209,           0.0044673,                   0,             0.71551,             0.51931,             0.53679,             0.15283,            0.052651,           0.0043503,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.057951,           0.0042261,                   0,             0.60122,             0.49832,             0.49528,             0.13797,            0.054064,           0.0042995,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.056803,           0.0042052,                   0,             0.63785,              0.5155,             0.48777,             0.13732,            0.052811,           0.0044068,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.059252,           0.0046642,                   0,             0.69882,             0.53406,             0.55184,             0.16179,            0.051263,           0.0041973,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.055382,           0.0046566,                   0,             0.64304,             0.51967,             0.52172,             0.14525,            0.051938,           0.0041419,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.056106,           0.0043894,                   0,             0.61565,             0.52229,             0.49456,             0.13599,             0.05239,           0.0044032,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.054241,           0.0042289,                   0,             0.64447,             0.53208,             0.53025,             0.15795,            0.051774,           0.0041599,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.054808,           0.0042318,                   0,             0.64103,             0.52491,             0.51956,             0.14891,             0.05174,           0.0040585,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.053443,           0.0042833,                   0,             0.69892,             0.56034,             0.56097,             0.16641,            0.051769,           0.0042402,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.056752,           0.0044184,                   0,              0.5882,              0.5436,             0.51239,             0.15165,            0.051897,           0.0041238,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.055015,           0.0041196,                   0,             0.61625,             0.54247,             0.50182,             0.14356,            0.051477,           0.0042636,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.056998,           0.0040404,                   0,             0.65959,             0.52775,             0.53267,             0.15484,            0.051842,           0.0042864,                   0,            0.004654,            0.004654,            0.004654
