               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10155,           0.0047533,                   0,          2.4444e-05,           0.0092515,          1.3322e-05,          2.2519e-06,            0.098578,           0.0049568,                   0,             0.07002,           0.0033311,           0.0033311
                   1,            0.088503,           0.0044883,                   0,           0.0015889,             0.60135,            0.023379,           0.0050159,            0.074441,           0.0073817,                   0,            0.039954,           0.0065985,           0.0065985
                   2,            0.079239,           0.0054063,                   0,             0.29919,             0.16653,             0.13445,            0.030742,            0.068622,             0.00737,                   0,            0.009822,           0.0097998,           0.0097998
                   3,            0.069435,           0.0050733,                   0,             0.39678,             0.29773,             0.20966,            0.048904,            0.063876,           0.0067754,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066403,           0.0046837,                   0,             0.45897,             0.40875,             0.33412,            0.081134,            0.061389,           0.0054124,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.063314,           0.0043875,                   0,              0.4291,             0.44575,             0.30721,            0.080231,            0.058961,           0.0054349,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.06206,           0.0042457,                   0,              0.4319,             0.41842,             0.33435,            0.084382,            0.058026,           0.0053802,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.058025,           0.0039552,                   0,             0.59668,              0.4693,             0.43084,             0.11206,            0.056143,           0.0050103,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.061544,           0.0042745,                   0,              0.4212,             0.41674,             0.33036,            0.083274,            0.057465,           0.0048992,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.056638,           0.0041075,                   0,             0.61265,             0.47822,              0.4668,              0.1229,            0.055179,           0.0043966,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.057749,           0.0039372,                   0,             0.62944,             0.47519,             0.47568,             0.13214,            0.053841,           0.0046719,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.058319,            0.003856,                   0,             0.62845,             0.50841,             0.50753,             0.14146,             0.05335,           0.0044042,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.059264,           0.0041182,                   0,             0.63178,             0.52382,             0.49759,              0.1443,            0.053181,           0.0043749,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.055597,           0.0037857,                   0,             0.56308,             0.49411,             0.45008,              0.1216,            0.054215,           0.0046543,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.056089,           0.0039026,                   0,             0.52442,             0.49748,             0.44162,             0.12359,            0.053358,           0.0046111,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.057035,           0.0039416,                   0,             0.66505,             0.51892,             0.52509,             0.14815,            0.052394,           0.0043052,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.056017,           0.0037783,                   0,             0.63504,             0.49664,             0.50846,             0.15055,            0.052002,           0.0044005,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.053494,           0.0038549,                   0,             0.63659,             0.51051,             0.52388,             0.15913,             0.05215,           0.0044397,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.055161,           0.0037155,                   0,             0.59648,             0.53273,             0.51758,             0.15694,            0.051958,           0.0044352,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.055771,           0.0039844,                   0,             0.69701,             0.56098,              0.5918,              0.1788,            0.050855,           0.0043092,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.055009,           0.0038711,                   0,             0.51754,             0.51892,             0.40574,             0.12207,            0.050407,           0.0045245,                   0,            0.008119,            0.008119,            0.008119
