               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13188,             0.01721,                   0,          0.00063218,            0.080586,          0.00037046,          7.3624e-05,             0.11678,            0.019719,                   0,            0.070429,           0.0032857,           0.0032857
                   1,             0.12299,            0.019476,                   0,           0.0011853,             0.02381,          0.00040322,           8.764e-05,             0.13694,             0.77339,                   0,            0.040363,           0.0065535,           0.0065535
                   2,             0.11672,             0.02273,                   0,             0.00239,            0.040293,           0.0008998,          0.00019816,             0.13171,             0.78653,                   0,            0.010232,           0.0097553,           0.0097553
                   3,             0.11255,            0.021546,                   0,           0.0027612,             0.10989,           0.0017545,          0.00037078,             0.13223,             0.12768,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.10917,            0.021429,                   0,           0.0099004,             0.30037,           0.0063522,           0.0014696,             0.12547,            0.030946,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.10201,            0.021573,                   0,            0.023684,             0.18132,             0.01351,           0.0028912,             0.11856,            0.020555,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.096398,            0.020136,                   0,              0.1343,             0.21795,            0.070573,            0.014794,            0.097547,            0.020058,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.093747,             0.02032,                   0,             0.14153,             0.31502,            0.083095,            0.017222,            0.094544,            0.019947,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.091089,            0.021057,                   0,             0.27958,             0.36447,             0.18568,            0.046275,            0.087258,            0.021197,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.086833,             0.02021,                   0,             0.33266,             0.36813,             0.23179,            0.063876,            0.081089,            0.019833,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.084319,            0.021946,                   0,             0.21747,             0.34865,             0.20564,            0.048919,            0.082045,            0.020421,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.080688,            0.020967,                   0,             0.20864,             0.32784,             0.16798,            0.037772,            0.081889,            0.020003,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.080554,            0.020788,                   0,             0.28561,              0.4359,             0.26777,            0.077572,             0.07389,            0.020455,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.073789,            0.021235,                   0,             0.27848,             0.42857,             0.25702,            0.065497,            0.075295,            0.019468,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.072662,            0.020217,                   0,             0.36356,             0.50183,             0.29791,            0.084548,            0.069313,            0.019591,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.075833,            0.020042,                   0,              0.4614,             0.52564,               0.457,             0.15515,            0.066471,            0.020409,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.068182,              0.0199,                   0,             0.61608,             0.54029,             0.57448,             0.20236,            0.065992,            0.019828,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.069956,            0.019828,                   0,             0.43732,             0.49451,             0.40808,             0.13821,             0.07053,            0.019591,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.071552,            0.020513,                   0,             0.52554,             0.54762,             0.51434,             0.17371,            0.068654,            0.018183,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.069985,            0.020065,                   0,             0.60551,             0.59341,             0.58823,               0.245,            0.061045,            0.018676,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.064827,            0.019853,                   0,             0.49177,             0.48912,             0.44427,             0.11946,            0.069882,            0.019686,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.066715,            0.019806,                   0,             0.63311,             0.56227,             0.58277,             0.18477,            0.060279,            0.018535,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.066633,            0.020059,                   0,             0.62053,             0.53908,             0.58113,             0.19894,             0.06175,             0.01837,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.063471,            0.019256,                   0,             0.66006,             0.57509,              0.6357,             0.24227,            0.057674,            0.018154,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.059278,            0.019336,                   0,              0.6139,              0.6232,              0.6342,              0.2255,            0.058664,            0.017815,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.060786,            0.018469,                   0,             0.78398,             0.64476,             0.73326,             0.29149,            0.057409,            0.017389,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.063057,            0.019706,                   0,             0.61062,             0.61538,             0.60644,             0.21005,            0.060481,             0.01711,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.060703,            0.018861,                   0,             0.68692,             0.64103,             0.67077,             0.24927,            0.057356,            0.017227,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.058616,            0.019484,                   0,             0.78082,             0.65246,             0.72016,              0.3043,            0.054114,            0.017593,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.058473,            0.019457,                   0,             0.77381,             0.66117,             0.71691,             0.29437,            0.053956,            0.016893,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.060347,            0.017844,                   0,             0.63727,             0.58974,             0.62848,              0.2489,             0.05626,             0.01727,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.055848,            0.017715,                   0,             0.72988,             0.64652,             0.67762,             0.28307,            0.053017,            0.016964,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.056665,            0.018505,                   0,             0.77814,             0.66667,             0.74507,             0.31566,            0.053589,             0.01671,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.056298,            0.018425,                   0,             0.82599,             0.65568,             0.75279,             0.33636,            0.050548,            0.016825,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.05799,            0.017744,                   0,             0.86821,             0.68776,             0.78237,             0.32121,            0.052421,            0.016368,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.056115,            0.017407,                   0,             0.81546,             0.68864,             0.77121,             0.34776,            0.050434,            0.016383,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.057375,             0.01761,                   0,               0.821,             0.69963,             0.77188,             0.35429,            0.048531,            0.016589,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.055385,             0.01771,                   0,             0.83496,             0.70418,             0.77962,             0.30613,            0.051988,              0.0166,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.056102,            0.017084,                   0,             0.75211,             0.68903,             0.73561,             0.30504,            0.055289,            0.016614,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.055201,            0.016293,                   0,             0.84881,              0.6992,             0.80087,             0.33523,              0.0506,            0.016088,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.053934,            0.018822,                   0,             0.78763,                0.72,             0.77145,              0.3213,            0.050514,            0.016052,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.051544,            0.016344,                   0,             0.78571,             0.68495,             0.75337,             0.26041,            0.055168,            0.016487,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.055249,            0.017798,                   0,             0.85589,             0.69597,             0.80572,             0.38375,              0.0473,            0.016059,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.053665,            0.017017,                   0,             0.85456,             0.69963,             0.79348,             0.35549,            0.051741,            0.015733,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.053798,            0.018511,                   0,             0.88109,             0.71924,             0.82429,             0.39413,            0.046843,            0.015538,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.052066,            0.017488,                   0,             0.81125,             0.69274,             0.75343,             0.25145,             0.05655,            0.015589,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.053412,            0.016848,                   0,             0.78672,             0.70147,             0.74801,             0.27518,             0.05768,            0.015316,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.055276,            0.017965,                   0,             0.85452,             0.73152,             0.82436,             0.39486,            0.045773,            0.015732,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.050201,            0.017643,                   0,             0.85478,             0.74384,               0.826,             0.37265,            0.046812,            0.015666,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.050448,             0.01788,                   0,             0.87276,             0.74117,             0.83293,             0.41763,            0.046076,             0.01537,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.051948,            0.016791,                   0,             0.86425,             0.74725,             0.83482,             0.40836,            0.044365,            0.015425,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.046925,            0.016516,                   0,             0.88724,             0.74176,             0.83606,             0.41492,            0.044531,            0.015199,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.050263,            0.017071,                   0,             0.87445,             0.75092,             0.83814,             0.40831,            0.045605,            0.015164,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.05072,             0.01769,                   0,             0.88484,             0.72344,              0.8238,              0.3605,            0.048091,               0.015,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.049781,            0.017028,                   0,             0.90077,             0.74908,             0.85372,             0.46405,            0.043352,            0.014956,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.047787,            0.015497,                   0,             0.85051,              0.7326,              0.8137,              0.4262,            0.043287,            0.015848,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.045627,            0.016267,                   0,             0.88457,             0.73443,             0.82151,             0.38328,            0.045666,            0.014962,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.048939,            0.016924,                   0,             0.90005,             0.74359,             0.84574,             0.44659,            0.043521,            0.015042,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.047485,            0.016753,                   0,             0.88108,             0.74176,             0.83016,             0.42356,            0.043531,            0.014823,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.045184,            0.016334,                   0,             0.91758,             0.75442,             0.85374,             0.42021,            0.044348,            0.014729,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.045868,            0.016527,                   0,             0.88089,               0.745,             0.84906,             0.42692,             0.04348,            0.014742,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.046963,            0.017932,                   0,             0.90504,             0.76374,             0.85089,             0.39848,            0.044937,            0.014544,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.045466,            0.014885,                   0,              0.9216,              0.7619,             0.85589,              0.4436,            0.042128,            0.014518,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.045715,            0.016521,                   0,             0.87876,             0.75666,              0.8317,              0.3924,            0.045792,              0.0146,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.046327,            0.015848,                   0,             0.89831,             0.76045,             0.85717,             0.43985,            0.044423,             0.01451,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.04678,            0.015589,                   0,             0.89458,             0.75824,             0.85595,             0.46104,            0.041348,            0.014525,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.047399,             0.01761,                   0,             0.89187,             0.77045,             0.85722,             0.44297,            0.042371,            0.014662,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.043298,            0.015204,                   0,              0.8979,             0.77315,             0.85946,             0.48353,            0.040117,            0.014431,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.045242,            0.016482,                   0,             0.89128,             0.78076,              0.8716,             0.46355,            0.040845,            0.014572,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.044399,            0.016195,                   0,             0.90522,             0.76963,             0.87243,             0.48533,            0.040353,            0.014498,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.046512,            0.016316,                   0,             0.91303,             0.77106,             0.86964,              0.4843,            0.040548,            0.014445,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.04595,            0.015837,                   0,             0.92702,             0.78571,             0.88054,             0.48186,            0.040702,            0.014234,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.044278,            0.015984,                   0,             0.92748,             0.79644,              0.8783,             0.48061,            0.040346,            0.014226,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.044571,            0.016642,                   0,             0.88878,              0.7611,             0.85869,             0.46183,            0.040776,            0.014739,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.043339,            0.015799,                   0,             0.89238,             0.78022,             0.86795,             0.48044,            0.040504,            0.014125,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.04321,              0.0155,                   0,             0.87963,             0.79304,             0.87137,             0.47669,            0.039766,            0.013996,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.042406,             0.01531,                   0,             0.90228,             0.81174,             0.88002,             0.48406,            0.039679,             0.01393,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.045372,            0.015785,                   0,             0.91854,             0.78476,             0.87099,             0.47189,            0.039548,            0.013991,                   0,            0.002476,            0.002476,            0.002476
