               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12374,            0.019772,                   0,           0.0045306,           0.0054945,          0.00042453,           9.923e-05,             0.11837,            0.033999,                   0,            0.070129,            0.003319,            0.003319
                   1,             0.10814,            0.022571,                   0,             0.09178,             0.21795,            0.057668,            0.013147,            0.095104,            0.020284,                   0,            0.040063,           0.0065864,           0.0065864
                   2,            0.095857,            0.021259,                   0,             0.10736,              0.2619,            0.059361,            0.012551,            0.089529,            0.019534,                   0,           0.0099316,           0.0097879,           0.0097879
                   3,            0.085312,            0.021751,                   0,             0.31304,             0.44505,             0.26488,            0.070274,            0.076647,             0.01962,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.074545,            0.020993,                   0,             0.37885,             0.47619,             0.33154,             0.10709,            0.065981,            0.020225,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.07039,            0.020891,                   0,             0.69797,             0.58409,             0.60775,             0.18658,            0.062065,            0.019998,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.065771,            0.020484,                   0,             0.55606,             0.59707,             0.51472,             0.13703,            0.062568,            0.017711,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.059992,            0.019359,                   0,             0.71958,             0.71429,             0.72426,             0.29731,            0.054022,             0.01767,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.058657,            0.019242,                   0,             0.56078,             0.57143,             0.51924,             0.14155,            0.062084,             0.01644,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.056293,            0.017723,                   0,             0.82007,             0.70147,             0.77266,             0.29633,            0.056101,            0.015876,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.054461,             0.01743,                   0,             0.83468,             0.72344,             0.80176,             0.30964,            0.051671,            0.015985,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.053388,             0.01767,                   0,             0.82808,             0.72894,             0.79375,             0.30623,             0.05056,            0.015168,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.051189,            0.017499,                   0,             0.88071,             0.75641,             0.83639,             0.34419,            0.048378,            0.014919,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.049659,            0.017078,                   0,             0.87962,              0.7674,             0.84112,             0.37764,            0.044999,            0.014334,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.050708,            0.017445,                   0,             0.88405,             0.79304,             0.87218,             0.43054,            0.042148,            0.014315,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.048604,            0.016635,                   0,              0.9021,             0.79315,             0.88046,              0.4413,            0.041372,            0.014223,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.047651,            0.016359,                   0,             0.86702,             0.81201,              0.8764,             0.42843,             0.04486,            0.013858,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.046612,            0.016018,                   0,             0.85645,             0.81868,             0.87623,             0.44796,            0.041625,            0.013893,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046829,            0.015876,                   0,             0.88353,             0.83333,             0.89817,             0.47313,            0.040872,            0.013772,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.045537,            0.016122,                   0,              0.9237,             0.82042,             0.89305,             0.47668,            0.039933,            0.013402,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044934,             0.01585,                   0,             0.92201,             0.82234,             0.89781,             0.45435,            0.040084,            0.013273,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.043991,            0.015909,                   0,             0.91258,             0.82217,             0.90062,             0.46972,             0.03884,             0.01306,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.044239,            0.015375,                   0,             0.95616,             0.79887,             0.90606,             0.48412,            0.037915,             0.01305,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.042373,            0.015223,                   0,             0.92285,              0.8315,             0.91223,             0.51105,            0.037118,            0.012752,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.042651,            0.015271,                   0,             0.90246,             0.83036,             0.89822,             0.44868,            0.040395,            0.013128,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.041699,             0.01531,                   0,             0.89511,             0.84403,             0.90645,             0.48766,            0.036852,             0.01272,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.040673,             0.01463,                   0,             0.90181,             0.84106,             0.89912,             0.44757,            0.039754,            0.012601,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.042394,            0.015059,                   0,             0.90446,             0.83516,             0.91357,             0.47579,            0.037741,            0.012502,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039917,            0.015175,                   0,             0.88857,             0.87631,             0.92152,              0.4926,             0.03654,            0.012289,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.039878,              0.0142,                   0,             0.92584,               0.846,             0.92374,             0.50492,            0.035546,            0.012384,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.04072,            0.014615,                   0,             0.90846,             0.85714,             0.92396,             0.53162,            0.035069,            0.012257,                   0,            0.007129,            0.007129,            0.007129
