               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13433,            0.015739,                   0,          0.00053161,            0.067766,          0.00030131,          6.9265e-05,             0.11829,            0.019378,                   0,              0.0802,              0.0022,              0.0022
                   1,             0.13066,            0.017632,                   0,          0.00051724,            0.065934,          0.00031655,          7.1104e-05,              0.1182,            0.019324,                   0,            0.059455,           0.0044554,           0.0044554
                   2,             0.12357,            0.018419,                   0,          0.00050287,            0.064103,          0.00028858,          6.9772e-05,             0.11835,            0.019228,                   0,            0.038665,           0.0066654,           0.0066654
                   3,             0.12258,            0.019688,                   0,           0.0011494,             0.14652,          0.00091775,          0.00026055,              0.1143,            0.020256,                   0,             0.01783,           0.0088297,           0.0088297
                   4,             0.11926,            0.020169,                   0,           0.0032013,            0.080586,          0.00097831,          0.00020034,             0.12849,              0.2667,                   0,            0.009604,            0.009604,            0.009604
                   5,             0.11477,            0.019159,                   0,          0.00077289,            0.047619,           0.0003658,          9.1604e-05,             0.14083,              4.5171,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.11535,            0.020248,                   0,          0.00074718,            0.058608,          0.00034046,          9.3664e-05,             0.14122,              5.6215,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.11294,            0.021517,                   0,           0.0021341,            0.031136,          0.00056425,          0.00014179,             0.13664,              2.7304,                   0,            0.009406,            0.009406,            0.009406
                   8,              0.1129,            0.023291,                   0,            0.003294,            0.021978,          0.00065592,          0.00016691,             0.13617,              1.4773,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.10888,            0.024351,                   0,           0.0056818,           0.0054945,          0.00068815,          0.00016606,             0.12981,             0.38862,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.10935,            0.020989,                   0,           0.0026884,             0.02381,           0.0012634,           0.0003004,             0.12522,             0.22421,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.10634,            0.019326,                   0,           0.0037083,           0.0054945,           0.0011746,          0.00025176,             0.12707,             0.16234,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.10699,            0.021497,                   0,            0.004364,            0.020147,           0.0024255,          0.00049648,             0.11976,            0.061492,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.099169,            0.021404,                   0,           0.0039892,             0.12821,           0.0027148,          0.00063427,             0.11666,            0.038101,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.10183,            0.022823,                   0,             0.01601,             0.27656,            0.010384,           0.0023162,             0.11606,            0.022479,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.10301,            0.022389,                   0,             0.03335,             0.34432,            0.020793,            0.004673,              0.1104,            0.024487,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.094351,            0.023071,                   0,            0.046795,             0.28755,               0.029,           0.0066051,             0.10556,            0.019981,                   0,            0.008515,            0.008515,            0.008515
                  17,              0.0964,            0.021783,                   0,            0.093584,             0.15385,            0.036747,            0.007646,             0.10485,            0.017557,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.097052,            0.020648,                   0,             0.11199,             0.20513,             0.04742,            0.010567,            0.099949,            0.018534,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.096584,            0.020614,                   0,            0.075153,             0.29121,             0.04038,           0.0091072,             0.10164,            0.019733,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.093545,            0.019917,                   0,            0.060262,             0.36813,            0.036649,           0.0086501,             0.09745,            0.019994,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.094155,            0.020673,                   0,            0.092436,             0.29121,            0.053114,            0.012284,            0.098471,            0.020634,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.092587,            0.018126,                   0,             0.11281,             0.25824,            0.056814,            0.011331,            0.097997,            0.019706,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.093215,            0.019193,                   0,              0.1247,             0.15934,            0.044643,            0.010198,             0.10304,            0.021022,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.095539,            0.020542,                   0,            0.040545,             0.37363,            0.033662,           0.0083412,            0.096249,            0.021598,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.092697,             0.02105,                   0,             0.18953,             0.35165,             0.11914,            0.029958,            0.094011,            0.020971,                   0,            0.007624,            0.007624,            0.007624
                  26,              0.0889,            0.018822,                   0,             0.18508,             0.29121,             0.11089,             0.02366,            0.089982,            0.020319,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.089111,            0.020715,                   0,             0.25263,              0.3405,             0.19212,            0.046067,            0.087023,             0.02029,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.087982,            0.021716,                   0,             0.28677,             0.38278,             0.22128,            0.063505,             0.08509,            0.019961,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.081521,            0.021107,                   0,             0.30286,              0.3956,             0.22699,            0.062649,             0.07991,            0.020422,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.083855,            0.020276,                   0,             0.28173,              0.3663,             0.20145,            0.050705,            0.083353,            0.019419,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.081025,            0.021095,                   0,             0.34657,             0.40293,             0.27199,            0.080066,            0.078194,            0.019842,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.082106,            0.021495,                   0,             0.22715,             0.37363,             0.15812,            0.037915,            0.082713,            0.019281,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.085312,            0.020624,                   0,             0.37447,             0.41575,             0.28579,            0.085584,            0.078248,            0.020286,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.078064,            0.021339,                   0,             0.40263,             0.44139,             0.33409,             0.10058,             0.07727,            0.020546,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.081554,             0.02283,                   0,             0.27696,             0.42308,             0.26371,            0.072656,            0.079692,            0.021037,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.076469,            0.021115,                   0,             0.32715,             0.46337,             0.27722,            0.082094,            0.078254,            0.021457,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.079156,            0.020437,                   0,             0.27292,             0.44322,             0.27563,            0.086713,            0.077779,            0.020461,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.075518,            0.019937,                   0,             0.38737,             0.47619,             0.36995,             0.10667,            0.074322,            0.020565,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.075429,            0.021687,                   0,             0.21795,             0.42722,              0.1917,            0.052509,            0.080867,            0.020569,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.078323,            0.020544,                   0,             0.27736,             0.44076,              0.2188,            0.054667,            0.076925,            0.019802,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.080633,            0.021203,                   0,              0.2355,             0.39011,             0.22178,            0.066568,            0.078129,            0.019626,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.077613,            0.021553,                   0,             0.31973,             0.42308,             0.32281,             0.10093,            0.077017,            0.019933,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.073315,            0.019513,                   0,             0.40484,             0.49267,             0.38457,             0.12002,            0.072088,            0.020468,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.073928,            0.021358,                   0,             0.35571,             0.48352,               0.329,            0.095902,             0.07029,            0.020352,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.074887,             0.02173,                   0,             0.30406,             0.51692,             0.27434,            0.094868,            0.070987,            0.020085,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.071493,            0.019585,                   0,             0.39371,             0.50428,             0.38157,             0.14446,            0.068974,            0.019999,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.068415,             0.01949,                   0,             0.37878,              0.5014,             0.36742,             0.13186,            0.070146,            0.019954,                   0,            0.005446,            0.005446,            0.005446
                  48,              0.0746,            0.019588,                   0,             0.41799,             0.51282,              0.3796,              0.1239,            0.069923,            0.019918,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.071981,            0.020726,                   0,             0.46865,             0.50183,             0.44413,             0.13664,            0.068795,            0.020052,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.069889,            0.020341,                   0,             0.50162,             0.53114,              0.4505,             0.14224,            0.067241,            0.020163,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.073186,            0.018064,                   0,             0.23633,             0.37237,             0.17802,            0.047906,            0.085248,            0.018658,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.075105,            0.019998,                   0,             0.34174,             0.50916,             0.28649,            0.092503,            0.073627,            0.019417,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.07098,            0.020237,                   0,             0.39562,             0.55861,             0.34137,             0.10809,            0.069214,            0.019596,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.071422,             0.01851,                   0,              0.3701,             0.57326,             0.35896,             0.11369,            0.070353,            0.019651,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.070391,            0.021285,                   0,             0.44517,             0.56593,             0.39994,             0.13709,            0.068318,            0.019676,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.067917,            0.021037,                   0,             0.49423,             0.59524,             0.46195,             0.18006,            0.065148,            0.019464,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.067231,            0.021232,                   0,              0.5429,             0.56593,             0.50707,             0.17969,             0.06459,            0.019258,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.064504,            0.020177,                   0,             0.38512,             0.54029,             0.35385,              0.1163,            0.067998,            0.019053,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.062391,            0.022705,                   0,             0.56853,             0.57875,             0.52794,             0.18915,            0.064142,            0.019177,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.064481,            0.021023,                   0,             0.36772,             0.55495,              0.3252,             0.11414,            0.068437,            0.018763,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.063644,            0.020089,                   0,             0.61213,             0.56363,             0.54675,              0.2108,             0.06225,            0.019108,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.062121,            0.018896,                   0,             0.53049,             0.53663,             0.50103,             0.18915,            0.065605,            0.018883,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.062919,            0.020368,                   0,             0.60801,             0.55678,              0.5679,             0.22546,            0.063419,            0.018856,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.062713,            0.019373,                   0,             0.54014,             0.58242,             0.51335,             0.17843,            0.063904,            0.018731,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.063779,            0.020091,                   0,             0.63369,             0.58791,             0.57782,             0.23157,            0.062009,            0.018942,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.066611,            0.021681,                   0,             0.63673,              0.5971,             0.58736,             0.24167,            0.061113,            0.018962,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.065713,            0.018455,                   0,             0.33713,             0.50366,             0.29589,            0.078966,            0.069827,            0.018983,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.063085,            0.018787,                   0,             0.66002,             0.58667,             0.59019,             0.24004,            0.061251,            0.018995,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.065191,            0.019997,                   0,             0.60118,             0.56227,             0.53153,             0.19369,            0.063428,            0.018839,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.064437,            0.021663,                   0,             0.60108,             0.57509,             0.52887,             0.19576,            0.062804,            0.018832,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.06089,            0.019104,                   0,             0.65793,              0.5989,             0.59153,             0.22965,            0.060514,            0.018907,                   0,             0.00307,             0.00307,             0.00307
