               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12366,            0.019253,                   0,           0.0032525,            0.054945,            0.001121,          0.00027067,             0.12274,            0.050159,                   0,            0.070129,            0.003319,            0.003319
                   1,             0.10901,            0.021506,                   0,             0.11902,             0.28571,            0.065244,            0.015201,            0.096179,            0.019115,                   0,            0.040063,           0.0065864,           0.0065864
                   2,            0.095769,            0.020732,                   0,             0.14657,             0.39927,              0.1396,            0.028616,            0.086042,            0.020079,                   0,           0.0099316,           0.0097879,           0.0097879
                   3,            0.085876,            0.021367,                   0,              0.3076,             0.42308,             0.26587,            0.068249,            0.078466,            0.021184,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.07543,            0.021075,                   0,             0.49703,             0.48901,             0.45487,             0.13564,            0.067138,            0.021072,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.069408,            0.020787,                   0,             0.49559,             0.41758,               0.452,             0.14541,            0.065152,            0.018606,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.064936,             0.01997,                   0,             0.50075,             0.53846,             0.48173,             0.14958,            0.065262,            0.018004,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.061156,            0.019006,                   0,             0.70208,             0.69963,               0.737,             0.28081,            0.053948,            0.017178,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.058113,            0.018978,                   0,             0.78138,             0.68498,             0.75722,             0.26989,            0.053928,              0.0156,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.057113,            0.017379,                   0,             0.65357,             0.65751,             0.67821,             0.25944,            0.056716,             0.01742,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.054236,            0.017555,                   0,             0.83116,             0.72894,             0.77753,             0.31424,            0.052417,            0.015606,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.053782,            0.017478,                   0,             0.82027,             0.69597,             0.78525,             0.30059,            0.050506,            0.014939,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.051323,             0.01752,                   0,             0.86915,             0.78571,             0.86474,             0.41637,            0.044936,            0.014434,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.050306,            0.016999,                   0,             0.87887,             0.78022,             0.85623,             0.41489,            0.043131,            0.014399,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04988,             0.01746,                   0,             0.89931,             0.78938,             0.87363,             0.44599,             0.04179,            0.013786,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.047832,            0.016437,                   0,             0.91722,             0.81169,             0.89696,             0.45556,            0.042396,            0.013756,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.047362,            0.016284,                   0,             0.91574,             0.77632,             0.87313,             0.43209,            0.042351,            0.013878,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04609,            0.015751,                   0,             0.86136,             0.81868,             0.87849,             0.42392,            0.041201,            0.013698,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046942,            0.015885,                   0,             0.94302,             0.81685,             0.90318,             0.48424,            0.038333,            0.013671,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.045421,            0.015929,                   0,             0.90663,             0.83883,             0.89037,             0.46471,            0.039094,            0.013136,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044621,            0.015725,                   0,             0.92479,             0.83325,             0.90211,             0.45457,            0.038278,            0.013068,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.044107,             0.01574,                   0,             0.92419,             0.83883,             0.91338,             0.45626,            0.038915,              0.0129,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.044209,            0.015321,                   0,             0.90428,             0.84249,             0.90695,             0.50105,            0.036774,            0.012882,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043307,            0.015193,                   0,             0.92338,             0.86084,              0.9154,             0.50142,            0.037461,            0.012776,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.041563,            0.015093,                   0,             0.91545,             0.84799,             0.90926,             0.44735,            0.040806,            0.012744,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.042183,            0.015246,                   0,             0.92504,             0.85889,             0.92624,             0.47759,            0.037117,            0.012449,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.04207,            0.014622,                   0,             0.92256,             0.85897,             0.91533,             0.47079,            0.037664,            0.012546,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040704,            0.015008,                   0,             0.94252,             0.85165,             0.92722,             0.48129,            0.036932,            0.012345,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039226,            0.015014,                   0,               0.937,             0.83883,             0.91482,              0.4931,            0.036113,            0.012239,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.039759,            0.014182,                   0,             0.92672,             0.86264,             0.92559,             0.53265,            0.034574,            0.011977,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.040448,            0.014585,                   0,             0.92971,             0.84781,             0.92324,             0.55739,            0.034126,            0.011989,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.039138,            0.014486,                   0,             0.93234,             0.86447,             0.92823,             0.51547,             0.03587,             0.01193,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.039485,            0.014265,                   0,             0.93455,             0.85897,             0.93267,             0.53409,            0.034507,            0.011704,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.038537,            0.014246,                   0,             0.93344,             0.87332,             0.93599,             0.54686,            0.033272,            0.011632,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.039141,              0.0143,                   0,             0.91979,             0.88213,             0.93678,             0.54472,            0.033216,            0.012031,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.037849,             0.01389,                   0,              0.9454,             0.88789,             0.93373,             0.52496,            0.034477,            0.011617,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.037794,            0.013579,                   0,             0.93924,             0.87771,             0.92994,             0.53654,            0.033495,            0.011657,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.037787,            0.013709,                   0,             0.91828,               0.885,             0.93211,             0.55943,            0.032497,            0.011489,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.036651,            0.013711,                   0,             0.93722,             0.88095,             0.93594,             0.56267,            0.032058,            0.011364,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.036318,            0.013533,                   0,             0.94718,             0.86081,             0.93823,             0.56448,            0.031696,             0.01116,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036731,            0.013976,                   0,             0.95236,             0.87881,             0.93938,             0.50029,            0.034167,            0.011389,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035216,            0.012964,                   0,             0.92971,             0.89194,             0.93829,             0.56435,            0.031598,            0.011134,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.035869,            0.013587,                   0,             0.95465,             0.88675,             0.94156,             0.55755,            0.032236,            0.011198,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.03498,             0.01292,                   0,             0.91892,             0.87177,             0.93036,             0.53513,            0.032717,            0.011371,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.036369,            0.013787,                   0,             0.91671,             0.88691,             0.93797,             0.55631,            0.032015,            0.011311,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034931,            0.013363,                   0,             0.94006,             0.89744,             0.94307,             0.54898,            0.033247,            0.011133,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.035839,            0.012873,                   0,             0.91727,             0.88462,             0.93954,             0.57022,            0.031633,            0.011175,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.03461,            0.013176,                   0,             0.94365,             0.87363,             0.94495,             0.55445,            0.031949,            0.010871,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.035362,            0.013082,                   0,             0.94459,             0.88828,             0.94579,             0.57666,            0.030802,            0.010801,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.033904,            0.013245,                   0,             0.94244,             0.86996,             0.93235,             0.51594,            0.034612,            0.011081,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03446,            0.013433,                   0,              0.9169,             0.90938,             0.95157,             0.54936,             0.03196,            0.010956,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.034272,            0.012482,                   0,             0.94182,             0.89744,             0.95239,             0.55228,            0.031345,            0.010794,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.033572,            0.012895,                   0,             0.94271,             0.88095,             0.95243,             0.59108,            0.029682,            0.010722,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.033782,            0.012809,                   0,              0.9599,             0.85897,             0.94525,             0.58381,            0.030853,            0.010637,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.033086,            0.012237,                   0,             0.93599,             0.88828,             0.94379,             0.55797,            0.031292,            0.010774,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.033716,             0.01282,                   0,             0.95802,              0.8777,             0.95319,             0.57566,            0.030826,            0.010765,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.033251,            0.012536,                   0,              0.9271,             0.90832,             0.95022,             0.59648,            0.029269,            0.010433,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.032807,            0.012143,                   0,             0.91036,             0.91144,             0.94704,             0.57654,            0.029424,            0.010739,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.032641,            0.012761,                   0,              0.9382,             0.90476,             0.95523,             0.58364,            0.029355,            0.010566,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.03315,            0.012975,                   0,             0.91396,             0.91438,             0.95617,             0.58292,            0.029658,            0.010739,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.032127,            0.012566,                   0,             0.93483,             0.88462,             0.94896,             0.57056,            0.030107,            0.010499,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.032541,            0.012444,                   0,              0.9482,             0.89377,             0.95825,             0.58398,            0.030035,            0.010348,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.03203,            0.012385,                   0,             0.92176,             0.91575,             0.95606,             0.59323,             0.02919,            0.010294,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.032649,            0.012606,                   0,             0.94391,              0.9011,             0.95688,             0.57482,             0.03045,            0.010356,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.032473,            0.012679,                   0,             0.92717,             0.90938,              0.9587,             0.58247,            0.029622,            0.010283,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.032197,            0.012633,                   0,             0.93875,             0.89824,             0.95174,             0.58712,            0.029175,            0.010208,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.031718,            0.012402,                   0,             0.93744,             0.90564,             0.95857,             0.57788,             0.02989,            0.010162,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.031116,            0.012048,                   0,             0.94701,             0.91656,             0.96116,             0.59316,            0.028577,            0.010176,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031341,            0.012221,                   0,             0.96441,             0.90842,             0.95791,             0.60285,            0.028383,            0.010127,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031242,            0.012326,                   0,             0.93788,              0.9011,             0.96156,             0.58188,            0.029711,            0.010283,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031673,            0.012151,                   0,             0.93728,              0.9011,             0.95853,             0.58803,            0.029159,            0.010208,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.031474,            0.012154,                   0,             0.95043,             0.91392,             0.96576,              0.6073,            0.028392,            0.010054,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.030994,            0.012451,                   0,             0.94744,             0.89142,              0.9566,             0.58517,            0.029779,            0.010143,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.031433,            0.012515,                   0,             0.94566,             0.92433,             0.96532,             0.58974,            0.029181,            0.010018,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.030777,            0.012069,                   0,             0.94686,             0.89377,             0.96099,             0.60003,            0.028831,            0.010011,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.031334,            0.012386,                   0,             0.93656,             0.91931,             0.96584,             0.60451,            0.028572,           0.0099256,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.030386,            0.011972,                   0,             0.94829,             0.92125,             0.96738,             0.59952,            0.028002,            0.010022,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.030407,             0.01199,                   0,             0.94852,             0.90293,             0.96667,             0.58192,            0.028982,            0.010019,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.030209,            0.011735,                   0,             0.94314,             0.90293,             0.96021,             0.58166,            0.028777,            0.010022,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.030711,            0.011974,                   0,              0.9483,             0.90696,             0.96447,             0.59552,            0.027903,            0.009954,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.030712,            0.011702,                   0,             0.94623,             0.91026,             0.96321,             0.59043,            0.028686,           0.0099589,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.028985,            0.011707,                   0,             0.95564,             0.90743,             0.96229,             0.59296,            0.028476,            0.010019,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.029614,             0.01216,                   0,             0.94995,              0.9011,             0.95765,             0.60308,            0.028263,           0.0099405,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.029872,            0.011619,                   0,              0.9472,             0.91941,             0.96474,             0.59917,            0.027999,           0.0098756,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.029702,             0.01167,                   0,             0.94178,             0.91849,             0.96656,             0.59524,            0.028368,           0.0098174,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.028795,            0.011338,                   0,             0.95038,             0.91197,             0.96785,               0.602,            0.027896,           0.0097696,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.029146,            0.011103,                   0,             0.96698,             0.91182,             0.96731,             0.60661,            0.028223,           0.0097671,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.029236,             0.01139,                   0,             0.95321,             0.91758,             0.96672,             0.60642,            0.028022,           0.0098757,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029981,            0.011715,                   0,             0.96144,             0.91343,             0.96514,             0.59629,             0.02794,           0.0097195,                   0,            0.001387,            0.001387,            0.001387
